chr	species	assigned_merian	prop_length	repeat_type	repeat_density	genome_repeat_density	scaled_repeat_density
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	LTR	35.05549	44.5214297638837	0.787384641192216
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	RC	35.05549	44.5214297638837	0.787384641192216
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	LINE	35.05549	44.5214297638837	0.787384641192216
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	DNA	35.05549	44.5214297638837	0.787384641192216
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	Other	35.05549	44.5214297638837	0.787384641192216
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	SINE	35.05549	44.5214297638837	0.787384641192216
BHWX01000001.1	Bombyx_mori	MZ	0.0448941121811556	Unknown	35.05549	44.5214297638837	0.787384641192216
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	LINE	54.50085	44.5214297638837	1.22414869174331
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	Unknown	54.50085	44.5214297638837	1.22414869174331
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	Other	54.50085	44.5214297638837	1.22414869174331
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	RC	54.50085	44.5214297638837	1.22414869174331
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	DNA	54.50085	44.5214297638837	1.22414869174331
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	SINE	54.50085	44.5214297638837	1.22414869174331
BHWX01000002.1	Bombyx_mori	M25	0.0182398968790525	LTR	54.50085	44.5214297638837	1.22414869174331
BHWX01000003.1	Bombyx_mori	M15	0.0330476402746487	Other	42.47077	44.5214297638837	0.953939939153814
BHWX01000003.1	Bombyx_mori	M15	0.0330476402746487	DNA	42.47077	44.5214297638837	0.953939939153814
BHWX01000003.1	Bombyx_mori	M15	0.0330476402746487	LINE	42.47077	44.5214297638837	0.953939939153814
BHWX01000003.1	Bombyx_mori	M15	0.0330476402746487	LTR	42.47077	44.5214297638837	0.953939939153814
BHWX01000003.1	Bombyx_mori	M15	0.0330476402746487	SINE	42.47077	44.5214297638837	0.953939939153814
